lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,i
-6.80212,1.0,0.962205,1,3,0,8.38096,0.292537,0
-7.4717,0.849009,0.962205,1,3,0,7.4743,0.415975,1
-6.82065,1.0,0.962205,1,3,0,7.25706,0.299527,2
-6.76882,0.9688,0.962205,2,3,0,6.97445,0.27605,3
-7.95253,0.797756,0.962205,2,3,0,7.99414,0.0953469,4
-7.46592,1.0,0.962205,1,1,0,7.91101,0.123144,5
-7.06524,1.0,0.962205,1,1,0,7.39689,0.16021,6
-7.2991,0.985568,0.962205,2,3,0,7.321,0.136158,7
-9.23919,0.891444,0.962205,2,3,0,9.48656,0.567248,8
-6.75825,1.0,0.962205,1,3,0,8.77507,0.232408,9
-7.00303,0.93569,0.962205,1,3,0,7.07783,0.345459,10
-6.74804,0.972661,0.962205,2,3,0,7.15758,0.250706,11
-6.93363,0.945841,0.962205,2,3,0,7.07693,0.330768,12
-8.53882,0.454201,0.962205,2,7,0,10.2793,0.0728499,13
-7.00666,0.996796,0.962205,1,3,0,8.43068,0.168003,14
-7.02391,0.947829,0.962205,1,3,0,7.49512,0.349506,15
-7.02391,0.424943,0.962205,1,3,0,9.56513,0.349506,16
-9.22971,0.453651,0.962205,1,1,0,9.23236,0.566636,17
-6.99926,0.959909,0.962205,1,3,0,9.64975,0.169064,18
-7.41442,0.923091,0.962205,1,1,0,7.41529,0.1269,19
-6.83316,0.999723,0.962205,1,3,0,7.31947,0.200929,20
-7.55022,0.878542,0.962205,1,3,0,7.60976,0.117415,21
-7.06741,1.0,0.962205,1,1,0,7.46316,0.15994,22
-8.11638,0.863233,0.962205,2,3,0,8.56039,0.0881618,23
-11.8883,0.754699,0.962205,1,3,0,12.6391,0.0202116,24
-8.47398,0.899701,0.962205,1,3,0,12.0741,0.0749497,25
-9.25824,0.976936,0.962205,2,3,0,9.3122,0.0539499,26
-6.89403,0.974763,0.962205,1,3,0,9.41884,0.186825,27
-6.83856,0.96159,0.962205,2,3,0,7.20595,0.305525,28
