lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,i,chain
-7.96374,0.933521,0.965593,1,1,0,7.98104,0.099874,0,3
-7.1583,0.99046,0.965593,2,3,0,8.07673,0.173883,1,3
-7.05251,0.984858,0.965593,1,3,0,7.23684,0.260122,2,3
-7.23969,0.95796,0.965593,1,3,0,7.23969,0.313165,3,3
-7.06184,1.0,0.965593,2,3,0,7.18394,0.264524,4,3
-8.80829,0.648951,0.965593,1,3,0,8.83742,0.48512,5,3
-7.08373,1.0,0.965593,1,3,0,8.23272,0.273215,6,3
-7.17302,0.85931,0.965593,2,3,0,7.73858,0.298672,7,3
-7.252,0.974092,0.965593,1,1,0,7.28786,0.315606,8,3
-7.02325,1.0,0.965593,1,3,0,7.20649,0.234804,9,3
-7.02325,0.714397,0.965593,1,3,0,8.43829,0.234804,10,3
-7.09679,0.98699,0.965593,2,3,0,7.11187,0.187918,11,3
-8.16445,0.855553,0.965593,2,3,0,8.38522,0.0901117,12,3
-7.0371,0.973262,0.965593,1,3,0,8.19595,0.211316,13,3
-7.02266,0.984721,0.965593,2,3,0,7.13322,0.230311,14,3
-7.10519,0.979008,0.965593,1,3,0,7.12294,0.185685,15,3
-7.08201,1.0,0.965593,1,1,0,7.10969,0.192216,16,3
-7.97888,0.840747,0.965593,1,3,0,8.11345,0.0990795,17,3
-11.0772,0.780344,0.965593,2,3,0,11.4341,0.0273217,18,3
-7.09467,0.88074,0.965593,2,7,0,10.119,0.276998,19,3
-8.04427,0.678661,0.965593,2,3,0,8.81899,0.095763,20,3
-7.55267,1.0,0.965593,1,1,0,7.97856,0.126691,21,3
-7.55267,0.919592,0.965593,1,1,0,8.00985,0.126691,22,3
-10.0057,0.787695,0.965593,2,3,0,10.3472,0.0409289,23,3
-11.4325,0.92916,0.965593,1,1,0,11.442,0.0239959,24,3
-10.474,1.0,0.965593,2,3,0,11.4717,0.0342079,25,3
-10.9781,0.976252,0.965593,1,1,0,11.1783,0.0283381,26,3
-12.6634,0.941998,0.965593,1,1,0,12.6665,0.0154647,27,3
-8.44129,1.0,0.965593,2,3,0,12.5432,0.0788743,28,3
-8.38417,1.0,0.965593,1,1,0,8.64139,0.0810168,29,3
-8.13856,1.0,0.965593,2,3,0,8.47243,0.0912842,30,3
-8.01872,1.0,0.965593,1,1,0,8.26391,0.0970371,31,3
-8.8802,0.967088,0.965593,2,3,0,8.88684,0.0647747,32,3
-8.11027,1.0,0.965593,1,1,0,8.8084,0.0925929,33,3
-11.4644,0.761883,0.965593,1,3,0,12.1086,0.0237195,34,3
-7.02475,0.534219,0.965593,2,7,0,13.4883,0.223269,35,3
-7.31793,0.926616,0.965593,1,3,0,7.37054,0.327779,36,3
-7.45243,0.95404,0.965593,1,1,0,7.53081,0.349284,37,3
-7.28008,1.0,0.965593,1,1,0,7.45414,0.320963,38,3
-7.02306,0.963902,0.965593,2,3,0,7.48261,0.234105,39,3
-7.02481,0.998071,0.965593,2,3,0,7.03362,0.223155,40,3
-7.09657,0.983559,0.965593,1,3,0,7.10355,0.187978,41,3
-7.09899,0.985677,0.965593,1,3,0,7.23502,0.278419,42,3
-8.76121,0.567185,0.965593,1,3,0,10.1434,0.068233,43,3
-8.30696,0.970517,0.965593,2,3,0,9.69787,0.0840501,44,3
-8.81794,0.945228,0.965593,1,1,0,8.88891,0.0665543,45,3
-8.50712,1.0,0.965593,2,3,0,8.92289,0.0765042,46,3
-7.57543,0.953726,0.965593,1,3,0,8.37073,0.124858,47,3
-7.94905,0.942452,0.965593,1,1,0,7.97708,0.100655,48,3
-7.58594,1.0,0.965593,1,1,0,7.92237,0.124029,49,3
